Order_date_SK,orderDate,Year,Quarter,Month,Week,FiscalYear,FiscalQuarter,FiscalMonth,FiscalWeek
239,12/19/2008,2008,4,12,51,2009,3,9,63
240,12/19/2008,2008,4,12,51,2009,3,9,63
241,2/17/2006,2006,1,2,7,2006,4,11,47
242,1/17/2006,2006,1,1,3,2006,4,10,43
243,1/17/2006,2006,1,1,3,2006,4,10,43
244,1/17/2006,2006,1,1,3,2006,4,10,43
245,9/11/2007,2007,3,9,37,2008,2,6,49
246,9/11/2007,2007,3,9,37,2008,2,6,49
247,9/15/2007,2007,3,9,37,2008,2,6,49
248,1/17/2006,2006,1,1,3,2006,4,10,43
249,1/17/2006,2006,1,1,3,2006,4,10,43
250,1/22/2006,2006,1,1,4,2006,4,10,44
251,2/4/2006,2006,1,2,5,2006,4,11,45
252,2/4/2006,2006,1,2,5,2006,4,11,45
253,2/4/2006,2006,1,2,5,2006,4,11,45
254,2/4/2006,2006,1,2,5,2006,4,11,45
255,2/6/2006,2006,1,2,6,2006,4,11,46
256,10/26/2006,2006,4,10,43,2007,3,7,55
257,10/26/2006,2006,4,10,43,2007,3,7,55
258,12/26/2008,2008,4,12,52,2009,3,9,64
259,12/26/2008,2008,4,12,52,2009,3,9,64
260,11/30/2008,2008,4,11,49,2009,3,8,61
261,11/22/2008,2008,4,11,47,2009,3,8,59
262,10/24/2007,2007,4,10,43,2008,3,7,55
263,10/24/2007,2007,4,10,43,2008,3,7,55
264,11/8/2007,2007,4,11,45,2008,3,8,57
265,10/31/2007,2007,4,10,44,2008,3,7,56
266,5/27/2009,2009,2,5,22,2010,1,2,34
267,5/27/2009,2009,2,5,22,2010,1,2,34
268,5/27/2009,2009,2,5,22,2010,1,2,34
269,5/27/2009,2009,2,5,22,2010,1,2,34
270,10/20/2007,2007,4,10,42,2008,3,7,54
271,10/31/2007,2007,4,10,44,2008,3,7,56
272,10/31/2007,2007,4,10,44,2008,3,7,56
273,4/28/2009,2009,2,4,18,2010,1,1,30
274,5/7/2009,2009,2,5,19,2010,1,2,31
275,5/7/2009,2009,2,5,19,2010,1,2,31
276,4/25/2009,2009,2,4,17,2010,1,1,29
277,5/25/2010,2010,2,5,22,2011,1,2,34
278,5/25/2010,2010,2,5,22,2011,1,2,34
279,8/4/2008,2008,3,8,32,2009,2,5,44
280,8/4/2008,2008,3,8,32,2009,2,5,44
281,7/12/2008,2008,3,7,28,2009,2,4,40
282,7/12/2008,2008,3,7,28,2009,2,4,40
283,6/19/2010,2010,2,6,25,2011,1,3,37
284,6/9/2010,2010,2,6,24,2011,1,3,36
285,6/9/2010,2010,2,6,24,2011,1,3,36
286,7/29/2008,2008,3,7,31,2009,2,4,43
287,6/17/2010,2010,2,6,25,2011,1,3,37
288,7/17/2008,2008,3,7,29,2009,2,4,41
289,7/17/2008,2008,3,7,29,2009,2,4,41
290,6/21/2009,2009,2,6,26,2010,1,3,38
291,6/21/2009,2009,2,6,26,2010,1,3,38
292,6/7/2010,2010,2,6,24,2011,1,3,36
293,6/7/2010,2010,2,6,24,2011,1,3,36
294,6/7/2010,2010,2,6,24,2011,1,3,36
295,6/7/2010,2010,2,6,24,2011,1,3,36
296,6/16/2009,2009,2,6,25,2010,1,3,37
297,6/23/2009,2009,2,6,26,2010,1,3,38
298,7/27/2008,2008,3,7,31,2009,2,4,43
299,7/27/2008,2008,3,7,31,2009,2,4,43
300,7/22/2008,2008,3,7,30,2009,2,4,42
301,6/6/2007,2007,2,6,23,2008,1,3,35
302,6/6/2007,2007,2,6,23,2008,1,3,35
303,6/6/2007,2007,2,6,23,2008,1,3,35
304,12/20/2008,2008,4,12,51,2009,3,9,63
305,12/20/2008,2008,4,12,51,2009,3,9,63
306,12/6/2009,2009,4,12,50,2010,3,9,62
307,12/6/2009,2009,4,12,50,2010,3,9,62
308,12/23/2009,2009,4,12,52,2010,3,9,64
309,7/28/2009,2009,3,7,31,2010,2,4,43
310,7/28/2009,2009,3,7,31,2010,2,4,43
311,5/24/2009,2009,2,5,22,2010,1,2,34
312,5/24/2009,2009,2,5,22,2010,1,2,34
313,5/24/2009,2009,2,5,22,2010,1,2,34
314,5/24/2009,2009,2,5,22,2010,1,2,34
315,1/4/2010,2010,1,1,2,2010,4,10,42
316,8/30/2005,2005,3,8,36,2006,2,5,48
317,12/18/2009,2009,4,12,51,2010,3,9,63
318,12/15/2009,2009,4,12,51,2010,3,9,63
319,12/23/2009,2009,4,12,52,2010,3,9,64
320,12/23/2009,2009,4,12,52,2010,3,9,64
321,12/12/2009,2009,4,12,50,2010,3,9,62
322,12/24/2009,2009,4,12,52,2010,3,9,64
323,12/24/2009,2009,4,12,52,2010,3,9,64
324,12/24/2009,2009,4,12,52,2010,3,9,64
325,12/24/2009,2009,4,12,52,2010,3,9,64
326,2/27/2005,2005,1,2,10,2005,4,11,50
327,2/27/2005,2005,1,2,10,2005,4,11,50
328,5/18/2010,2010,2,5,21,2011,1,2,33
329,4/30/2008,2008,2,4,18,2009,1,1,30
330,4/30/2008,2008,2,4,18,2009,1,1,30
331,4/30/2008,2008,2,4,18,2009,1,1,30
332,3/4/2005,2005,1,3,10,2005,4,12,50
333,3/5/2005,2005,1,3,10,2005,4,12,50
334,11/21/2005,2005,4,11,48,2006,3,8,60
335,6/22/2006,2006,2,6,25,2007,1,3,37
336,11/26/2005,2005,4,11,48,2006,3,8,60
337,11/26/2005,2005,4,11,48,2006,3,8,60
338,7/9/2006,2006,3,7,28,2007,2,4,40
339,7/9/2006,2006,3,7,28,2007,2,4,40
340,12/6/2005,2005,4,12,50,2006,3,9,62
341,6/13/2006,2006,2,6,24,2007,1,3,36
342,6/13/2006,2006,2,6,24,2007,1,3,36
343,6/13/2006,2006,2,6,24,2007,1,3,36
344,6/30/2006,2006,2,6,26,2007,1,3,38
345,6/30/2006,2006,2,6,26,2007,1,3,38
346,12/8/2005,2005,4,12,50,2006,3,9,62
347,12/8/2005,2005,4,12,50,2006,3,9,62
348,2/10/2005,2005,1,2,7,2005,4,11,47
349,2/9/2005,2005,1,2,7,2005,4,11,47
350,2/9/2005,2005,1,2,7,2005,4,11,47
351,2/10/2005,2005,1,2,7,2005,4,11,47
352,11/27/2005,2005,4,11,49,2006,3,8,61
353,11/27/2005,2005,4,11,49,2006,3,8,61
354,1/19/2005,2005,1,1,4,2005,4,10,44
355,6/22/2005,2005,2,6,26,2006,1,3,38
356,6/19/2006,2006,2,6,25,2007,1,3,37
357,1/31/2005,2005,1,1,6,2005,4,10,46
358,1/31/2005,2005,1,1,6,2005,4,10,46
359,1/31/2005,2005,1,1,6,2005,4,10,46
360,10/7/2006,2006,4,10,40,2007,3,7,52
361,10/7/2006,2006,4,10,40,2007,3,7,52
362,5/12/2006,2006,2,5,19,2007,1,2,31
363,1/23/2006,2006,1,1,4,2006,4,10,44
364,1/18/2006,2006,1,1,3,2006,4,10,43
365,2/11/2009,2009,1,2,7,2009,4,11,47
366,2/22/2009,2009,1,2,9,2009,4,11,49
367,1/12/2006,2006,1,1,2,2006,4,10,42
368,1/12/2006,2006,1,1,2,2006,4,10,42
369,1/12/2006,2006,1,1,2,2006,4,10,42
370,2/24/2009,2009,1,2,9,2009,4,11,49
371,2/24/2009,2009,1,2,9,2009,4,11,49
372,1/24/2009,2009,1,1,4,2009,4,10,44
373,1/24/2009,2009,1,1,4,2009,4,10,44
374,2/9/2009,2009,1,2,7,2009,4,11,47
375,1/14/2006,2006,1,1,2,2006,4,10,42
376,1/14/2006,2006,1,1,2,2006,4,10,42
377,1/24/2009,2009,1,1,4,2009,4,10,44
378,1/24/2009,2009,1,1,4,2009,4,10,44
379,8/18/2009,2009,3,8,34,2010,2,5,46
380,8/18/2009,2009,3,8,34,2010,2,5,46
381,8/18/2009,2009,3,8,34,2010,2,5,46
382,8/1/2009,2009,3,8,31,2010,2,5,43
383,8/1/2009,2009,3,8,31,2010,2,5,43
384,8/1/2009,2009,3,8,31,2010,2,5,43
385,1/8/2010,2010,1,1,2,2010,4,10,42
386,7/30/2009,2009,3,7,31,2010,2,4,43
387,7/30/2009,2009,3,7,31,2010,2,4,43
388,8/8/2009,2009,3,8,32,2010,2,5,44
389,8/8/2009,2009,3,8,32,2010,2,5,44
390,8/8/2009,2009,3,8,32,2010,2,5,44
391,8/8/2009,2009,3,8,32,2010,2,5,44
392,8/14/2009,2009,3,8,33,2010,2,5,45
393,8/14/2009,2009,3,8,33,2010,2,5,45
394,8/8/2009,2009,3,8,32,2010,2,5,44
395,8/8/2009,2009,3,8,32,2010,2,5,44
396,8/4/2009,2009,3,8,32,2010,2,5,44
397,8/9/2009,2009,3,8,33,2010,2,5,45
398,10/31/2009,2009,4,10,44,2010,3,7,56
399,10/31/2009,2009,4,10,44,2010,3,7,56
400,10/23/2007,2007,4,10,43,2008,3,7,55
401,10/28/2007,2007,4,10,44,2008,3,7,56
402,4/12/2005,2005,2,4,16,2006,1,1,28
403,4/3/2005,2005,2,4,15,2006,1,1,27
404,4/3/2005,2005,2,4,15,2006,1,1,27
405,10/10/2009,2009,4,10,41,2010,3,7,53
406,3/28/2005,2005,1,3,14,2005,4,12,26
407,3/28/2005,2005,1,3,14,2005,4,12,26
408,4/8/2005,2005,2,4,15,2006,1,1,27
409,3/31/2005,2005,1,3,14,2005,4,12,26
410,10/1/2009,2009,4,10,40,2010,3,7,52
411,4/14/2005,2005,2,4,16,2006,1,1,28
412,4/14/2005,2005,2,4,16,2006,1,1,28
413,4/14/2005,2005,2,4,16,2006,1,1,28
414,4/14/2005,2005,2,4,16,2006,1,1,28
415,11/18/2009,2009,4,11,47,2010,3,8,59
416,3/30/2005,2005,1,3,14,2005,4,12,26
417,9/23/2009,2009,3,9,39,2010,2,6,51
418,9/17/2006,2006,3,9,38,2007,2,6,50
419,9/17/2006,2006,3,9,38,2007,2,6,50
420,11/20/2009,2009,4,11,47,2010,3,8,59
421,11/20/2009,2009,4,11,47,2010,3,8,59
422,11/20/2009,2009,4,11,47,2010,3,8,59
423,12/14/2009,2009,4,12,51,2010,3,9,63
424,12/14/2009,2009,4,12,51,2010,3,9,63
425,9/20/2006,2006,3,9,38,2007,2,6,50
426,9/20/2006,2006,3,9,38,2007,2,6,50
427,8/16/2008,2008,3,8,33,2009,2,5,45
428,8/10/2008,2008,3,8,33,2009,2,5,45
429,8/13/2008,2008,3,8,33,2009,2,5,45
430,8/13/2008,2008,3,8,33,2009,2,5,45
431,8/19/2008,2008,3,8,34,2009,2,5,46
432,8/19/2008,2008,3,8,34,2009,2,5,46
433,7/30/2008,2008,3,7,31,2009,2,4,43
434,7/26/2008,2008,3,7,30,2009,2,4,42
435,7/26/2008,2008,3,7,30,2009,2,4,42
436,7/26/2008,2008,3,7,30,2009,2,4,42
437,8/27/2010,2010,3,8,35,2011,2,5,47
438,8/27/2010,2010,3,8,35,2011,2,5,47
439,8/21/2010,2010,3,8,34,2011,2,5,46
440,8/7/2010,2010,3,8,32,2011,2,5,44
441,8/7/2010,2010,3,8,32,2011,2,5,44
442,8/20/2010,2010,3,8,34,2011,2,5,46
443,7/31/2008,2008,3,7,31,2009,2,4,43
444,4/2/2008,2008,2,4,14,2009,1,1,26
445,10/14/2009,2009,4,10,42,2010,3,7,54
446,10/14/2009,2009,4,10,42,2010,3,7,54
447,11/2/2009,2009,4,11,45,2010,3,8,57
448,11/6/2009,2009,4,11,45,2010,3,8,57
449,11/6/2009,2009,4,11,45,2010,3,8,57
450,10/6/2009,2009,4,10,41,2010,3,7,53
451,9/25/2005,2005,3,9,40,2006,2,6,52
452,10/28/2009,2009,4,10,44,2010,3,7,56
453,10/14/2009,2009,4,10,42,2010,3,7,54
454,6/26/2009,2009,2,6,26,2010,1,3,38
455,6/26/2009,2009,2,6,26,2010,1,3,38
456,6/26/2009,2009,2,6,26,2010,1,3,38
457,6/7/2009,2009,2,6,24,2010,1,3,36
458,6/7/2009,2009,2,6,24,2010,1,3,36
459,6/24/2009,2009,2,6,26,2010,1,3,38
460,5/29/2009,2009,2,5,22,2010,1,2,34
461,5/29/2009,2009,2,5,22,2010,1,2,34
462,5/29/2009,2009,2,5,22,2010,1,2,34
463,6/13/2009,2009,2,6,24,2010,1,3,36
464,6/7/2009,2009,2,6,24,2010,1,3,36
465,6/23/2005,2005,2,6,26,2006,1,3,38
466,6/7/2009,2009,2,6,24,2010,1,3,36
467,6/7/2009,2009,2,6,24,2010,1,3,36
468,9/16/2009,2009,3,9,38,2010,2,6,50
469,6/20/2010,2010,2,6,26,2011,1,3,38
470,10/11/2007,2007,4,10,41,2008,3,7,53
471,9/29/2007,2007,3,9,39,2008,2,6,51
472,7/18/2007,2007,3,7,29,2008,2,4,41
473,10/21/2007,2007,4,10,43,2008,3,7,55
474,10/21/2007,2007,4,10,43,2008,3,7,55
475,10/21/2007,2007,4,10,43,2008,3,7,55
476,2/6/2006,2006,1,2,6,2006,4,11,46
477,7/8/2010,2010,3,7,28,2011,2,4,40
478,6/19/2010,2010,2,6,25,2011,1,3,37
479,6/19/2010,2010,2,6,25,2011,1,3,37
480,6/19/2010,2010,2,6,25,2011,1,3,37
481,6/18/2010,2010,2,6,25,2011,1,3,37
482,6/16/2010,2010,2,6,25,2011,1,3,37
483,3/9/2009,2009,1,3,11,2009,4,12,51
484,3/7/2009,2009,1,3,10,2009,4,12,50
485,3/28/2009,2009,1,3,13,2009,4,12,25
486,5/5/2006,2006,2,5,18,2007,1,2,30
487,3/14/2009,2009,1,3,11,2009,4,12,51
488,2/1/2006,2006,1,2,5,2006,4,11,45
489,2/1/2006,2006,1,2,5,2006,4,11,45
490,5/18/2006,2006,2,5,20,2007,1,2,32
491,2/3/2009,2009,1,2,6,2009,4,11,46
492,1/21/2006,2006,1,1,3,2006,4,10,43
493,5/14/2006,2006,2,5,20,2007,1,2,32
494,5/14/2006,2006,2,5,20,2007,1,2,32
495,2/1/2006,2006,1,2,5,2006,4,11,45
496,2/1/2006,2006,1,2,5,2006,4,11,45
497,2/7/2007,2007,1,2,6,2007,4,11,46
498,2/7/2007,2007,1,2,6,2007,4,11,46
499,2/7/2007,2007,1,2,6,2007,4,11,46
500,1/6/2006,2006,1,1,1,2006,4,10,41
501,1/6/2006,2006,1,1,1,2006,4,10,41
502,5/22/2006,2006,2,5,21,2007,1,2,33
503,5/22/2006,2006,2,5,21,2007,1,2,33
504,5/22/2006,2006,2,5,21,2007,1,2,33
505,7/10/2006,2006,3,7,28,2007,2,4,40
506,2/3/2009,2009,1,2,6,2009,4,11,46
507,7/3/2006,2006,3,7,27,2007,2,4,39
508,7/3/2006,2006,3,7,27,2007,2,4,39
509,7/3/2006,2006,3,7,27,2007,2,4,39
510,2/13/2009,2009,1,2,7,2009,4,11,47
511,6/14/2006,2006,2,6,24,2007,1,3,36
512,12/3/2008,2008,4,12,49,2009,3,9,61
513,12/3/2008,2008,4,12,49,2009,3,9,61
514,12/3/2008,2008,4,12,49,2009,3,9,61
